200356401,1,2
235902458,1,3
203354125,1,4
302879992,1,5
215036041,1,6
586623021,1,7
235004587,1,8
775210548,2,3
659002365,2,4
210564205,2,5
123032155,2,6
250852011,2,7
326544502,2,8
125884025,3,4
325602258,3,5
856997405,3,6
300258569,3,7
325066201,3,8
326005481,4,5
250125550,4,6
200356401,4,7
302879992,4,8
586623021,5,6
775210548,5,7
123032155,5,8
326544502,6,7
325602258,6,8
325066201,7,8
200356401,8,1
235902458,8,2
203354125,8,3
302879992,8,4
215036041,8,5
586623021,8,6
235004587,8,7
775210548,7,6
659002365,7,5
210564205,7,4
123032155,7,3
250852011,7,2
326544502,7,1
125884025,6,5
325602258,6,4
856997405,6,3
300258569,6,2
325066201,6,1
326005481,5,4
250125550,5,3
302879992,5,2
302879992,5,1
235902458,4,3
203354125,4,2
302879992,4,1
235902458,3,2
203354125,3,1
200356401,2,1
