203658457,Noam,Dorine,1983-10-05,1,1998
586924587,Aprilette,Doris,1983-02-03,1,1999
256045789,Ara,Dorisa,1982-12-11,1,2000
205468925,Arabel,Dorise,1982-09-08,1,2010
570862493,Arabela,Dorit,1982-12-06,2,2003
110256845,Arabele,Dorita,1982-09-03,2,2000
230546892,Arabella,Doro,1982-10-01,2,1999
402789362,Arabelle,Dorolice,1981-10-10,2,2005
302157486,Arda,Dorolisa,1981-09-08,3,2008
311566208,Ardath,Dorotea,1981-12-05,3,2011
500264871,Ardeen,Doroteya,1981-09-03,3,2018
203566480,Ardelia,Dorothea,1980-12-12,3,2019
240057163,Ardelis,Dorothee,1980-07-10,4,2006
880153679,Ardella,Dorothy,1980-04-07,4,2005
110232151,Ardelle,Dorree,1980-06-05,4,2014
203141232,Arden,Dorri,1980-08-02,4,2013
345068102,Ardene,Dorrie,1979-04-12,5,2021
236650142,Ardenia,Gabbey,1979-08-09,5,2020
998057620,Ardine,Gabbi,1979-03-07,5,2003
425600317,Ardis,Gabbie,1979-08-04,5,2012
203549982,Ardith,Gabey,1979-08-01,6,2011
532062456,Ardra,Gabi,1978-08-11,6,2010
201546623,Ricardo,Gabie,1978-07-08,6,2004
230560114,Riccardo,Sharon,1978-06-06,6,1999
235600142,Rice,Cheryl,1978-05-03,7,2009
258520258,Rich,Shayla,1978-12-01,7,2008
147410147,Richard,placenta,1977-04-10,7,2003
369306932,Richardo,Sonia,1977-11-08,7,2018
321456022,Richie,Final,1977-05-05,8,2013
542684509,Richmond,Stacey,1977-10-03,8,2013
548796320,Richy,Stella,1976-10-12,8,2005
258741036,Sara,Yoel,1971-02-12,8,2013
200003562,Alton,Karl,1982-10-11,1,1999
300002564,Ambrose,Carlton,1982-12-08,2,2003
600032598,Anderson,I'morry,1982-12-06,3,2018
500606090,Andrew,Christian,1982-03-03,4,2020
800578058,Andy,Christop,1982-10-19,5,2005
300548687,Angus,Clarence,1981-12-10,6,2013
702358466,Anthony,Clark,1985-09-08,7,2000
689555870,Early,Claude,1980-10-05,8,2005
