235410867,Nadia,Aaron,2004-01-01,security man,1
223345061,Namoi,steam,2005-12-18,ticket seller,1
230584011,dwarf,Abraham,2001-07-06,Cleaner,1
425871023,Natalie,ace,2000-05-08,usher,1
354201621,Natasha,A person,1993-12-16,Buffet seller,1
523064128,Nelly,Alan,1996-03-01,security man,2
202020358,miracle,Albert,1998-06-04,ticket seller,2
212302501,Nicole,Alexander,2000-04-26,Cleaner,2
254872053,Nina,Alfred,2002-10-09,usher,2
236996320,foolish,Alan,2004-02-11,Buffet seller,2
214741025,light bulbs,Alton,2007-08-02,security man,3
215480570,olive,Ambrose,2001-10-04,ticket seller,3
258460258,Paisley,Anderson,2003-01-15,Cleaner,3
135200258,Pam,Andrew,1999-07-29,usher,3
468522025,patty,Andy,1998-12-11,Buffet seller,3
798522025,penny,Angus,2003-06-02,security man,4
245698201,Phoebe,Anthony,2001-04-30,ticket seller,4
351478220,Priscilla,Early,1997-07-08,Cleaner,4
356842025,Rachel,Ernie,1999-03-11,usher,4
698521470,Rebecca,Arnold,2002-08-01,Buffet seller,4
315682790,dirty,Arthur,2004-11-25,security man,5
215003652,rose,Ashton,2006-11-07,ticket seller,5
215975308,Roseanne,Austin,1999-12-18,Cleaner,5
753951028,rosemary,Barney,2003-06-12,usher,5
357951280,Rowena,Bart,2005-05-03,Buffet seller,5
753159860,Roxana,Bartholomew,2003-10-06,security man,6
542685201,Samantha,Ben,1991-09-09,ticket seller,6
320562051,Sammy,Benjamin,2003-08-12,Cleaner,6
325846001,Savannah,myson,1996-06-05,usher,6
215869502,red,Bernard,1998-02-07,Buffet seller,6
245688213,Selma,Bill,2000-07-22,security man,7
656598982,Emily,Williams,2003-12-01,ticket seller,7
122154870,David,Johnson,2006-11-07,Cleaner,7
321652580,Michael,Brown,2001-12-18,usher,7
225585203,Jessica,Thompson,2001-06-12,Buffet seller,7
